week,ydstogo,yardline_100,posteam_timeouts_remaining,defteam_timeouts_remaining,score_diff,converted,down1_pct,down2_pct,down3_pct,successes,failures,prep_days,rush,dome,KICKOFF,PUNT,home,random_var,minutes_remaining
2,9,41,3,3,-3,0,13,21.1,20,0,3,8,0,0,0,1,1,0.356430661106725,16.4
2,6,95,2,2,3,1,70.6,45.8,35.7,2,5,8,0,0,0,1,0,2.95248308119206,15
2,2,35,2,2,3,0,70.6,45.8,35.7,2,5,8,1,0,0,1,0,1.16149598596667,11.466666666666667
2,26,59,2,2,3,0,70.6,45.8,35.7,2,5,8,0,0,0,1,0,2.65439300911479,10.766666666666667
2,10,56,2,2,-3,0,13,21.1,20,0,3,8,0,0,0,0,1,1.52230869734065,9.816666666666666
2,13,97,2,2,3,1,70.6,45.8,35.7,2,5,8,0,0,0,1,0,0.00367083142247149,8.3
2,13,67,2,2,-4,0,70.6,45.8,35.7,2,5,8,0,0,1,0,0,-0.23153754804133,4.85
2,1,66,2,2,4,0,13,21.1,20,0,3,8,1,0,0,1,1,0.936590345451151,3.0833333333333335
2,7,47,1,2,-4,0,70.6,45.8,35.7,2,5,8,0,0,0,1,0,-0.358931779074,1.8833333333333333
2,12,33,3,3,0,0,60.9,52.6,43.8,0,2,7,0,0,1,0,0,1.52533030283214,59.1
2,11,61,3,3,0,0,60.9,52.6,43.8,0,2,7,0,0,0,0,0,0.781427611362583,56.35
2,7,70,3,3,0,1,68.2,53.3,20,2,3,7,0,0,0,1,1,0.508936331610928,55.016666666666666
2,3,34,3,3,0,1,68.2,53.3,20,2,3,7,1,0,0,1,1,-0.685494456806628,52.36666666666667
2,1,1,3,3,0,0,68.2,53.3,20,2,3,7,0,0,0,1,1,0.683469836432703,48.983333333333334
2,1,60,3,3,-3,1,60.9,52.6,43.8,0,2,7,0,0,1,0,0,-1.64361701399266,46.6
2,10,43,3,3,-3,1,60.9,52.6,43.8,0,2,7,1,0,1,0,0,0.211317352933276,45.78333333333333
2,2,11,3,3,-3,1,60.9,52.6,43.8,0,2,7,1,0,1,0,0,-1.12210175104257,43.7
2,15,88,2,3,-4,1,68.2,53.3,20,2,3,7,0,0,1,0,1,0.351717677361305,42.06666666666667
2,9,46,2,3,-4,0,68.2,53.3,20,2,3,7,1,0,1,0,1,0.706653599730172,39.333333333333336
2,6,15,2,2,4,0,60.9,52.6,43.8,0,2,7,0,0,0,0,0,-0.533170845040505,33.25
