week,attempt,ydstogo,yardline_100,minutes_remaining,posteam_timeouts_remaining,defteam_timeouts_remaining,score_diff,down1_pct,down2_pct,down3_pct,successes,failures,prep_days,dome,KICKOFF,PUNT,home,random_var
2,0,6,6,54.85,3,3,0,40.7,31.6,53.8,2,1,4,0,1,0,1,-0.285690515438565
2,0,9,59,53.3333333333333,3,3,-3,33.3,27.3,14.3,1,6,4,0,1,0,0,-0.294080364519381
2,0,6,86,51.3833333333333,3,3,3,40.7,31.6,53.8,2,1,4,0,0,1,1,-0.511068379750373
2,0,8,37,45.8,3,3,3,40.7,31.6,53.8,2,1,4,0,0,0,1,-0.0954448840408447
2,0,15,80,27.5833333333333,3,3,-13,33.3,27.3,14.3,1,6,4,0,1,0,0,0.0576670296167156
2,0,9,74,21.5,3,3,13,40.7,31.6,53.8,2,1,4,0,1,0,1,0.275159421024659
2,0,4,64,20.55,3,3,-13,33.3,27.3,14.3,1,6,4,0,0,1,0,-1.41641702646461
2,1,1,28,13.75,3,3,13,40.7,31.6,53.8,2,1,4,0,0,1,1,-1.19973287017746
2,0,34,49,11.4333333333333,3,3,13,40.7,31.6,53.8,2,1,4,0,0,1,1,2.7545461980544
2,1,3,58,2.4,2,3,-13,33.3,27.3,14.3,1,6,4,0,1,0,0,-1.56010975658444
2,1,5,44,0.25,2,0,6,40.7,31.6,53.8,2,1,4,0,1,0,1,0.87662452030949
2,0,10,49,0.25,2,0,6,40.7,31.6,53.8,2,1,4,0,1,0,1,-0.963843611537914
2,0,13,64,57.05,3,3,0,64,28.6,18.8,0,2,8,0,1,0,0,1.18214322740959
2,0,5,34,52.1666666666667,3,3,0,54.8,44,14.3,0,0,8,0,0,1,1,1.38092412571537
2,0,6,10,45.65,3,2,-3,64,28.6,18.8,0,2,8,0,1,0,0,-0.520786697463244
2,0,6,71,44.4333333333333,1,3,0,54.8,44,14.3,0,0,8,0,1,0,1,-0.322440234132038
